name,x,y
1.png,32.03,214.4
2.png,34.49,202.08
3.png,25.25,213.79
4.png,32.65,229.81
5.png,31.41,218.72
6.png,24.64,226.11
7.png,34.49,221.18
8.png,38.81,151.56
9.png,32.65,215.02
10.png,34.49,219.95
11.png,32,216.2
12.png,35.73,173.74
13.png,29.57,187.29
14.png,36.34,174.97
15.png,33.26,227.34
16.png,34.49,215.63
17.png,34.49,234.74
18.png,34.49,208.24
19.png,32.03,210.09
20.png,29.57,164.5
21.png,29.6,202.1
22.png,35.73,213.17
23.png,33.88,193.46
24.png,36.96,144.78
25.png,20.94,118.29
26.png,31.41,119.52
27.png,28.95,139.24
28.png,32.65,155.87
29.png,30.8,149.09
30.png,23.4,121.37
31.png,28.33,136.77
32.png,31.41,139.85
33.png,32.03,69.61
34.png,33.88,40.66
35.png,33.26,77.62
36.png,35.11,44.97
37.png,21.56,149.71
38.png,30.18,143.55
39.png,35.73,144.17
40.png,25.87,117.05
41.png,37.58,123.22
42.png,32.65,96.72
43.png,32.03,121.37
44.png,33.26,120.75
45.png,35.11,142.32
46.png,29.57,110.89
47.png,34.49,101.65
48.png,27.1,86.25
49.png,32.03,150.33
50.png,30.8,148.48
51.png,30.8,170.04
52.png,30.8,88.71
53.png,30.8,159.57
54.png,30.18,165.11
55.png,30.18,173.74
56.png,30.8,136.77
57.png,27.1,130.61
58.png,31.41,147.25
59.png,32.65,157.72
60.png,31.41,145.4
61.png,32.65,156.49
62.png,34.49,149.71
63.png,28.95,160.8
64.png,28.95,152.79
65.png,30.8,115.21
66.png,31.41,153.41
67.png,29.57,144.78
68.png,33.88,115.21
69.png,35.11,138
70.png,31.41,118.29
71.png,28.33,146.63
72.png,28.95,121.37
73.png,30.8,146.01
74.png,31.41,104.73
75.png,33.88,148.48
76.png,30.18,140.47
77.png,31.41,148.48
78.png,29.57,164.5
79.png,30.18,138
80.png,31.41,131.23
81.png,32.65,148.48
82.png,28.33,145.4
83.png,24.02,144.78
84.png,34.49,144.17
85.png,33.88,136.16
86.png,22.17,167.58
87.png,32.65,173.12
88.png,32.03,157.1
89.png,31.41,148.48
90.png,32.03,144.78
91.png,32.65,123.22
92.png,33.88,50.51
93.png,32.03,13.55
94.png,33.26,96.11
95.png,32.65,120.14
96.png,32.65,158.34
97.png,24.02,157.1
98.png,19.71,120.75
99.png,30.8,103.5
100.png,33.26,92.41
101.png,32.03,111.51
102.png,30.8,85.02
103.png,31.41,141.7
104.png,31.41,138.62
105.png,30.8,152.17
106.png,33.88,149.71
107.png,23.4,118.29
108.png,31.41,152.17
109.png,29.57,143.55
110.png,29.57,142.32
111.png,30.8,157.1
112.png,25.87,144.78
113.png,22.17,117.05
114.png,29.57,171.89
115.png,30.18,129.38
116.png,28.95,120.14
117.png,32.03,113.36
118.png,22.79,165.11
119.png,24.02,85.02
120.png,32.03,128.15
121.png,28.95,129.99
122.png,30.8,110.28
123.png,30.8,144.78
124.png,31.41,132.46
125.png,30.18,152.79
126.png,23.4,136.77
127.png,28.33,150.33
128.png,28.33,146.63
129.png,32.65,138
130.png,28.95,166.34
131.png,27.72,141.08
132.png,31.41,120.14
133.png,24.64,139.85
134.png,28.95,150.33
135.png,30.18,143.55
136.png,27.72,144.17
137.png,23.4,155.25
138.png,30.18,149.09
139.png,27.7,157.1
140.png,31.41,142.32
141.png,30.18,135.54
142.png,31.41,156.49
143.png,30.8,125.68
144.png,31.41,113.97
145.png,33.88,133.69
146.png,28.95,123.22
147.png,33.88,157.1
148.png,31.41,80.09
149.png,31.41,165.73
150.png,24.02,121.98
151.png,34.49,130.61
152.png,27.72,95.49
153.png,33.88,173.74
154.png,29.57,151.56
155.png,30.18,156.49
156.png,33.26,152.17
157.png,31.41,142.93
158.png,22.79,146.01
159.png,30.8,159.57
160.png,33.26,160.8
161.png,35.73,113.36
162.png,28.33,69
163.png,31.41,139.24
164.png,29.57,150.33
165.png,25.25,159.57
166.png,24.64,150.94
167.png,30.18,138.62
168.png,28.33,149.71
169.png,24.64,163.88
170.png,31.41,152.17
171.png,31.41,165.11
172.png,34.49,142.93
173.png,27.72,177.44
174.png,28.33,153.41
175.png,30.18,157.72
176.png,28.95,96.11
177.png,17.86,154.64
178.png,26.48,155.87
179.png,32.65,152.17
180.png,31.41,162.03
181.png,32.03,122.6
182.png,32.65,117.67
183.png,32.65,146.63
184.png,31.41,131.23
185.png,30.18,144.17
186.png,27.72,155.25
187.png,28.33,163.88
188.png,28.95,153.41
189.png,30.18,146.63
190.png,32.65,116.44
191.png,32.65,74.54
192.png,33.26,141.08
193.png,33.26,134.31
194.png,30.8,144.78
195.png,32.03,42.5
196.png,29.57,151.56
197.png,28.33,140.47
198.png,28.95,156.49
199.png,30.8,166.34
200.png,28.95,163.26
201.png,30.8,104.12
202.png,28.95,142.32
203.png,33.26,136.16
204.png,32.65,166.34
205.png,22.79,146.63
206.png,33.26,146.63
207.png,29.57,150.94
208.png,30.8,150.33
209.png,28.95,161.42
210.png,33.26,140.47
211.png,32.65,81.32
212.png,33.88,164.5
213.png,32.65,68.38
214.png,33.88,55.44
215.png,30.8,146.63
216.png,32.65,162.65
217.png,32.03,148.48
218.png,32.65,85.02
219.png,29.57,120.14
220.png,27.1,65.92
221.png,26.48,130.61
222.png,34.49,98.57
223.png,29.57,142.32
224.png,32.65,154.02
225.png,32.65,150.33
226.png,30.18,107.81
227.png,28.33,154.02
228.png,30.18,92.41
229.png,33.26,147.86
230.png,34.49,86.25
231.png,30.8,93.64
232.png,32.03,64.68
233.png,30.8,128.15
234.png,30.18,145.4
235.png,33.26,40.04
236.png,30.8,126.3
237.png,18.47,85.63
238.png,30.18,52.98
239.png,36.34,126.3
240.png,25.25,146.01
241.png,19.09,121.37
242.png,34.56,123.89
243.png,33.26,149.71
244.png,36.96,156.49
245.png,32.03,150.33
246.png,32.03,118.9
247.png,33.26,128.15
248.png,32.65,137.39
249.png,31.41,96.72
250.png,28.33,102.27
251.png,30.8,165.11
252.png,32.65,164.5
253.png,33.26,105.96
254.png,33.88,139.24
255.png,32.03,144.17
256.png,33.26,120.14
257.png,32.65,157.72
258.png,33.88,72.08
259.png,36.34,121.37
260.png,36.34,125.68
261.png,36.34,96.72
262.png,30.8,142.32
263.png,30.18,179.28
264.png,25.87,152.17
265.png,31.41,155.25
266.png,34.49,105.96
267.png,25.87,139.24
268.png,33.88,99.8
269.png,32.03,129.38
270.png,36.34,127.53
271.png,27.1,158.95
272.png,33.26,138
273.png,33.26,114.59
274.png,36.34,146.63
275.png,31.41,160.18
276.png,36.96,151.56
277.png,26.48,72.69
278.png,36.34,52.98
279.png,31.41,152.17
280.png,33.88,165.73
281.png,33.88,78.24
282.png,26.48,129.99
283.png,31.41,155.87
284.png,26.48,150.33
285.png,27.72,170.04
286.png,31.41,143.55
287.png,32.65,144.78
288.png,33.88,139.24
289.png,25.87,151.56
290.png,31.41,121.37
291.png,33.26,151.56
292.png,33.88,103.5
293.png,32.03,124.45
294.png,35.11,137.39
295.png,30.8,147.86
296.png,29.57,156.49
297.png,32.65,115.82
298.png,35.11,122.6
299.png,30.18,100.42
300.png,35.73,97.96
301.png,33.26,105.35
302.png,36.34,133.69
303.png,32.03,73.93
304.png,34.49,84.4
305.png,35.11,168.81
306.png,26.48,154.02
307.png,31.41,176.82
308.png,33.88,185.45
309.png,29.57,186.06
310.png,34.49,160.8
311.png,24.7,130.67
312.png,32.65,151.56
313.png,35.11,165.73
314.png,32.65,155.25
315.png,32.65,142.32
316.png,29.57,144.17
317.png,30.24,151
318.png,30.8,144.17
319.png,30.18,155.87
320.png,33.88,171.89
321.png,28.95,176.2
322.png,28.95,177.44
323.png,34.49,176.82
324.png,33.32,143.61
325.png,34.49,155.25
326.png,36.96,146.01
