Image,pt1x,pt1y,pt2x,pt2y
1.png,27.7,143.5,27.1,414.64
2.png,28.91,165.92,28.91,424.39
3.png,27.1,138.62,25.25,391.85
4.png,31.41,154.02,30.2,394.9
5.png,30.8,154.02,28.95,408.48
6.png,32.65,58.52,28.33,298.81
7.png,28.95,163.26,27.1,414.03
8.png,28.95,160.8,26.48,380.76
9.png,27.1,167.58,27.72,412.8
10.png,30.8,166.34,30.8,437.44
11.png,28.33,171.27,25.87,437.44
12.png,28.95,110.28,28.33,389.38
13.png,27.72,142.93,25.87,410.95
14.png,32.65,134.31,31.41,406.63
15.png,32.03,163.26,30.8,430.66
16.png,21.56,162.65,21.56,417.72
17.png,32.65,144.78,30.8,405.4
18.png,29.53,150.5,28.91,427.47
19.png,31.38,151.73,28.91,414.52
20.png,30.15,165.92,28.91,421.3
21.png,31.38,140.01,29.53,414.52
22.png,30.76,90.05,30.76,352.83
23.png,32.61,162.22,29.53,494.71
24.png,32,70.31,30.76,357.77
26.png,26.48,152.79,25.25,421.42
27.png,32.65,146.63,31.41,416.49
28.png,31.41,83.78,32.03,363.51
29.png,31.41,121.37,27.1,380.76
30.png,28.95,59.14,24.64,300.04
31.png,25.25,142.32,25.87,389.38
32.png,35.11,108.43,30.8,377.06
33.png,29.57,146.01,28.95,400.47
34.png,31.41,161.42,30.18,409.1
35.png,29.57,121.37,27.72,348.72
37.png,30.8,163.88,29.57,390
38.png,33.88,105.35,32.65,337.63
39.png,31.41,120.75,30.18,330.23
40.png,31.41,78.86,28.33,317.3
41.png,30.18,138,26.48,364.12
42.png,28.95,153.41,29.57,401.7
43.png,32.03,46.2,30.18,298.2
44.png,33.26,139.85,30.18,371.51
45.png,31.41,143.55,28.33,404.79
46.png,31.41,120.75,30.8,378.91
47.png,35.11,51.75,32.03,300.04
48.png,33.88,147.25,30.8,406.63
49.png,28.3,83.8,26.48,333.32
50.png,28.95,165.73,28.33,415.88
51.png,32.03,160.8,27.72,397.39
52.png,16.63,98.57,19.71,335.16
53.png,21.56,132.46,21.56,373.98
54.png,30.18,153.41,28.33,388.15
55.png,35.73,146.01,32.65,374.6
56.png,33.88,136.77,30.8,383.84
57.png,34.49,113.36,31.41,346.25
58.png,29.57,154.64,26.48,396.16
60.png,28.33,187.91,25.87,421.42
61.png,25.25,161.42,24.64,401.7
62.png,30.8,155.25,27.72,377.06
63.png,33.88,117.67,31.41,343.79
65.png,32.65,108.43,30.8,362.89
66.png,30.18,140.47,29.57,385.07
67.png,35.11,138,31.41,385.07
68.png,26.48,163.88,27.1,410.33
69.png,32.03,139.24,32.03,393.7
70.png,31.41,122.6,30.8,382.61
71.png,35.11,152.17,35.73,395.54
72.png,33.26,163.26,32.03,407.87
73.png,37.58,158.34,37,401.1
74.png,27.1,72.08,27.72,341.94
75.png,30.8,117.05,32.65,314.22
76.png,31.41,154.02,29.57,393.08
77.png,32.03,179.9,33.88,403.55
78.png,33.26,88.1,32.03,327.15
79.png,30.18,176.82,27.72,409.71
80.png,25.25,155.87,23.4,393.7
81.png,25.87,186.06,26.48,412.18
82.png,30.8,165.73,29.57,390
83.png,33.88,152.79,32.65,394.93
84.png,24.02,166.96,26.48,406.02
85.png,30.18,152.79,28.33,364.12
86.png,33.26,128.76,32.03,368.43
87.png,32.03,138,32.65,381.99
88.png,33.26,155.25,30.18,412.18
89.png,30.18,161.42,28.95,409.1
90.png,25.87,184.21,27.1,380.14
91.png,33.26,134.31,31.41,365.97
92.png,17.86,106.58,19.71,306.21
93.png,28.33,96.11,25.25,328.39
94.png,36.34,138,31.41,397.39
95.png,20.32,137.39,18.48,373.98
96.png,30.8,153.41,30.8,403.55
97.png,27.1,173.74,24.64,397.39
98.png,29.57,151.56,27.72,388.77
99.png,30.8,162.03,31.41,409.1
100.png,31.41,139.24,30.18,396.78
101.png,33.26,136.16,30.8,410.95
102.png,33.26,100.42,32.65,367.2
104.png,30.18,105.96,31.41,381.37
105.png,29.57,167.58,28.33,428.2
106.png,32.65,162.03,29.57,428.2
107.png,31.41,109.05,28.95,364.74
108.png,31.41,144.17,28.95,414.64
109.png,30.18,141.7,28.95,398.62
110.png,32.03,123.22,28.95,381.99
111.png,31.41,162.65,33.26,425.73
112.png,31.22,141.4,29.44,408.46
113.png,28.95,170.66,27.1,440.52
114.png,32.65,176.2,29.57,439.9
115.png,31.41,141.08,31.41,416.49
116.png,31.41,132.46,28.33,396.16
117.png,31.41,138.62,30.8,397.39
118.png,31.41,153.41,29.57,418.96
119.png,30.8,147.25,29.57,413.41
120.png,30.18,141.7,29.57,424.5
121.png,29.57,141.08,28.95,396.16
122.png,32.65,153.41,28.95,433.13
123.png,30.18,128.15,29.57,398.62
124.png,30.8,118.9,30.18,391.85
125.png,32.03,133.69,29.57,426.97
126.png,28.33,121.98,28.95,394.93
127.png,32.65,158.34,29.57,433.13
128.png,28.33,170.66,27.72,442.99
129.png,20.94,102.27,20.32,392.46
130.png,32.65,136.77,31.41,388.77
131.png,34.49,176.2,28.95,440.52
132.png,30.8,153.41,29.57,417.11
133.png,31.41,150.94,29.57,420.8
134.png,32.65,152.79,30.18,418.96
135.png,29.57,142.93,29.57,408.48
136.png,20.94,144.78,22.79,411.56
137.png,31.41,165.11,28.33,416.49
138.png,34.49,164.5,30.18,410.33
139.png,33.88,107.2,32.65,385.69
140.png,32.65,138,30.8,419.57
141.png,29.57,152.79,30.18,422.65
